Date,Open,High,Low,Close,Adj Close,Volume
9/20/2021,3500,3520,3460,3520,3520,83985100
9/21/2021,3500,3560,3480,3530,3530,95848100
9/22/2021,3530,3590,3520,3590,3590,66835200
9/23/2021,3600,3610,3550,3560,3560,104737500
9/24/2021,3560,3580,3540,3560,3560,72224500
